geo,time,search_contribution,social_contribution,video_contribution,baseline,noise
Region 3,2025-09-29,3114.53341634,3234.79694041,2971.52887734,32350.10796794,-32.88514691
Region 3,2025-10-06,3525.10572885,3197.29831628,2851.72291398,31401.38730764,-281.12676935
Region 3,2025-10-13,1889.11665399,2418.52331045,3281.60602403,29602.71156857,88.89550824
Region 3,2025-10-20,923.21375695,2734.39541602,3340.53660897,30377.71568300,917.84023236
Region 3,2025-10-27,2844.61282271,2612.46705945,2737.45632461,30395.55081787,85.71316623
Region 3,2025-11-03,2976.47773549,2381.24896007,2927.10352192,30693.50248308,105.34643292
Region 3,2025-11-10,2989.94776964,2783.82211877,3079.68332909,30577.25471656,-61.76425500
Region 3,2025-11-17,3836.56522263,3217.23334603,2862.26763279,31308.79028664,320.10153064
Region 3,2025-11-24,4544.14908146,3164.33608588,2529.34863233,31404.24593214,-94.59519446
Region 3,2025-12-01,3286.43373897,3184.35128756,2455.12328790,32887.12644274,-217.06179896
Region 3,2025-12-08,3070.70270961,3044.97596800,2253.03366884,31220.26938383,-1.89794410
Region 3,2025-12-15,2284.79916408,2864.48550956,2744.14298359,30097.13165255,-560.68171237
Region 3,2025-12-22,3131.57237382,2694.96114323,2826.27764885,30165.65851393,191.10894855
Region 4,2024-01-01,2213.88527950,2387.40830231,1740.56163304,36270.33959410,40.46566380
Region 4,2024-01-08,4465.26821591,2741.20070813,3062.09932605,36122.68118057,-726.20939454
Region 4,2024-01-15,3512.20932788,2008.53474652,2663.38350984,35786.93834940,-346.10896806
Region 4,2024-01-22,3345.29402930,2223.30125778,3532.58127715,36216.93877530,272.26281167
Region 4,2024-01-29,4046.95617304,1687.07919823,3177.70756165,34752.88142039,120.87242446
Region 4,2024-02-05,2585.73522722,3866.58234028,2845.67597723,36577.60863041,-749.32161804
Region 4,2024-02-12,3454.52986892,3526.52926429,2593.61564110,37580.60299795,-281.64302782
Region 4,2024-02-19,3814.27725489,2727.82783926,4278.79733663,35961.82525663,333.93522486
Region 4,2024-02-26,5095.94739309,2784.40303564,3952.82199184,35369.89807191,416.96585662
Region 4,2024-03-04,5246.88478472,3209.13675522,3440.24608840,35749.70485684,964.73157406
Region 4,2024-03-11,4382.14223554,2383.53517350,3447.22793714,38119.66422816,193.63739484
Region 4,2024-03-18,3730.30623954,3456.94305685,3280.34394741,39841.34014673,21.56408717
Region 4,2024-03-25,4632.09738830,3826.72951984,3003.39348444,36579.06173397,574.97211442
Region 4,2024-04-01,4114.03182802,3425.16438289,3048.24506728,37577.72866017,-371.02066199
Region 4,2024-04-08,4404.59029887,3446.02937374,3413.03022038,36684.46361161,268.95008330
Region 4,2024-04-15,3873.60391558,3181.60347027,3201.21257157,38040.61760645,-60.82233931
Region 4,2024-04-22,2899.94080419,4146.74714010,3207.58977518,38225.27904368,842.53492883
Region 4,2024-04-29,2763.17727779,3869.90359729,3116.44506585,37943.13266684,1062.25489204
Region 4,2024-05-06,2826.78975362,3685.02643123,3071.41260706,39295.64599207,-812.48083799
Region 4,2024-05-13,3584.02715341,2963.30380172,2875.70317473,37905.43813670,114.69129648
Region 4,2024-05-20,4623.27673207,3288.40685722,3115.59853984,37488.83533843,-1036.02002752
Region 4,2024-05-27,4828.63723372,4233.31164299,3334.85324068,36150.21004632,299.33339273
Region 4,2024-06-03,3566.73694712,4149.00963298,3283.65567685,36381.85598249,778.85958041
Region 4,2024-06-10,1943.19321658,4201.87905937,3413.74016740,34092.61129393,-438.30120572
Region 4,2024-06-17,3786.28868080,4212.24126537,3298.12460698,35060.05524134,-352.62216487
Region 4,2024-06-24,4869.10865879,3166.58325914,2658.29257772,36989.01915928,255.48632711
Region 4,2024-07-01,3385.03765941,3445.46199960,2687.71909052,37093.94735021,-186.44641144
Region 4,2024-07-08,3221.49348243,3621.52956824,2429.87648645,37473.87936441,426.25925044
Region 4,2024-07-15,4258.88583491,2988.70684569,1854.55788445,35259.03000944,-607.75841010
Region 4,2024-07-22,4730.46800640,3065.38293825,2107.84479911,36417.46385780,-758.43227279
Region 4,2024-07-29,3050.68949504,3146.38914637,1981.01478652,33752.88981505,672.42737942
Region 4,2024-08-05,3261.42972098,4061.43657871,1828.05498112,34780.86945944,1262.76796136
Region 4,2024-08-12,2884.05562059,3685.26349581,1901.31270249,36935.61694187,67.52295243
Region 4,2024-08-19,4922.41596339,2863.34464141,1607.84179790,34346.57752131,63.29267472
Region 4,2024-08-26,4280.53202529,2814.78157559,1962.60623450,34535.55235891,599.83314273
Region 4,2024-09-02,4527.81514210,1975.74815664,2544.31140928,34191.84831791,-341.84278781
Region 4,2024-09-09,3396.62410680,2500.88456796,2261.17429125,33872.42584680,1346.90636774
Region 4,2024-09-16,3743.94076963,4478.15628669,1849.19389540,34359.79430200,-607.40968922
Region 4,2024-09-23,3566.11674159,3823.96867520,1735.46281694,36164.67783303,-48.98779472
Region 4,2024-09-30,2804.59484308,3462.05786423,2307.95516869,33713.56667995,-152.77752984
Region 4,2024-10-07,3432.66240003,3523.67121863,2751.98539905,35662.22654082,-724.48824103
Region 4,2024-10-14,4767.24248023,4128.49746312,3234.72086279,34638.46329320,232.70837810
Region 4,2024-10-21,3367.13138042,4669.35669486,3009.40023002,34359.21589751,-976.19013715
Region 4,2024-10-28,3446.28369464,4145.39823352,3398.14711773,33296.70825607,-1086.35969867
Region 4,2024-11-04,4457.17070001,3241.31603730,3383.72222476,35320.59258894,204.42361934
Region 4,2024-11-11,4167.98395586,2751.15201288,2891.97385857,33084.88907990,-7.12046100
Region 4,2024-11-18,3582.29264267,2134.50875634,2432.14574316,33805.67676093,574.23279426
Region 4,2024-11-25,1632.49085118,2800.88263283,2501.70906200,31006.52166003,-918.26486206
Region 4,2024-12-02,2747.00560343,2645.65256015,3165.19232567,35449.66871063,-713.10054225
Region 4,2024-12-09,3311.50658427,3038.57672786,2643.73769446,36766.87310608,-232.34119659
Region 4,2024-12-16,2371.98547863,2967.36532889,2440.39591271,37091.30314814,0.90577740
Region 4,2024-12-23,3611.84983728,2639.43861985,2668.57113552,35659.37194280,289.63462880
Region 4,2024-12-30,2306.83609515,3212.20103321,2187.58750626,34672.80155185,-1015.79699244
Region 4,2025-01-06,3897.14631235,2832.07250217,2332.41652750,36125.04333133,-863.68281720
Region 4,2025-01-13,3360.73542143,2987.72896898,2650.48102268,37592.93822002,-37.82610027
Region 4,2025-01-20,2812.78949390,4195.43718778,2355.88063075,33880.81540906,-202.24690767
Region 4,2025-01-27,3053.49797164,4271.33272068,3625.63480073,39066.53309500,-609.32947636
Region 4,2025-02-03,3129.11947558,4490.60136131,3450.24206434,36478.56869275,-1040.86092078
Region 4,2025-02-10,3396.06808451,3815.04254145,2908.64568580,38145.18526326,1102.66082999
Region 4,2025-02-17,3383.99264218,3392.53065661,2940.31565127,36445.24021321,214.13627650
Region 4,2025-02-24,2449.51836716,3358.46426248,2409.76596441,40240.51373104,712.95353844
Region 4,2025-03-03,3586.67639883,2494.10640951,2111.82107244,40095.32582906,880.37441389
Region 4,2025-03-10,4910.75723143,2903.10226977,2361.24540067,40810.33045171,-95.46106821
Region 4,2025-03-17,4727.41704099,2574.26649314,3219.83851073,37711.28306743,-1253.96392876
Region 4,2025-03-24,4863.95484838,2774.20533023,3306.79037318,39531.47885935,-1079.02599367
Region 4,2025-03-31,4146.00049165,2943.93056747,3793.62464467,40721.17924137,-789.62675280
Region 4,2025-04-07,2381.81173913,2786.33002117,3332.70710471,39334.57777153,27.68454002
Region 4,2025-04-14,3645.16389113,2613.28943831,3437.04043513,37613.19339859,1003.29730902
Region 4,2025-04-21,3970.07532516,2679.92049724,3631.63883266,36203.08874891,-250.05461645
Region 4,2025-04-28,3278.89194457,3287.25268582,3635.17974330,39173.48141644,529.88566558
Region 4,2025-05-05,3693.54547844,3387.60728579,3570.85055667,40095.92307714,-571.65030346
Region 4,2025-05-12,4115.58838769,2837.40728136,3223.11728642,37915.46202732,-115.42650685
Region 4,2025-05-19,3874.35840561,2829.19783847,3743.90666721,39253.94002322,82.09266099
Region 4,2025-05-26,3814.37059992,3561.46758599,3264.36838297,37711.07099430,-336.33356236
Region 4,2025-06-02,1986.85098493,3216.54182932,2959.73568693,37953.35665134,-699.58368974
Region 4,2025-06-09,3978.72641577,3454.29173799,3278.18478611,33798.19916191,-452.26738415
Region 4,2025-06-16,4162.14434419,3591.11781787,2925.93201584,37353.74456035,-687.92709997
Region 4,2025-06-23,2991.28009530,3639.49160144,2576.88233281,37008.47946814,1367.96365913
Region 4,2025-06-30,2726.82743190,3361.43524600,3878.84692799,39356.13113410,957.64053318
Region 4,2025-07-07,2717.72588560,3018.13585757,3444.33188323,37109.52817083,349.38884596
Region 4,2025-07-14,2452.37553098,2917.74971771,3812.25827955,37527.09427508,-627.09804688
Region 4,2025-07-21,2978.66309004,3830.44856996,3481.82532180,35312.65369788,252.57948541
Region 4,2025-07-28,3276.60828329,3160.85760260,3537.98648279,36029.73051144,560.93288471
Region 4,2025-08-04,3424.07081887,2554.62204236,3893.11597795,36539.87031606,767.25378777
Region 4,2025-08-11,3471.78956319,1753.05557449,3666.20496677,37605.36454813,191.05924340
Region 4,2025-08-18,3432.23852880,3771.58811705,3802.98613078,33646.88880317,516.09185786
Region 4,2025-08-25,3928.12107075,3901.54553519,3507.17073143,35718.24892357,-149.75349157
Region 4,2025-09-01,4684.40598162,3922.28606027,3707.16760545,35453.40522239,108.77604042
Region 4,2025-09-08,3608.67130025,3855.09263686,3713.86014883,38001.37968328,-1108.31423111
Region 4,2025-09-15,4359.92005963,2977.06375586,3085.20126268,35405.99080859,824.11392157
Region 4,2025-09-22,2920.82655336,3702.27378117,3791.86174072,35455.45177158,-685.69607455
Region 4,2025-09-29,4029.78705886,3527.61021561,3767.75301967,34326.22110395,-128.19129874
Region 4,2025-10-06,3205.71584926,2972.65769623,3132.54146002,34714.56132908,283.58551258
Region 4,2025-10-13,4028.24270039,3564.17729425,3849.22825967,35149.17671756,-320.16423621
Region 4,2025-10-20,4555.53015680,3657.39041379,3692.86420666,36171.14500399,329.33193896
Region 4,2025-10-27,3061.33704856,3565.75303738,3911.67238425,36058.05441268,-1373.41707627
Region 4,2025-11-03,3867.08355353,2850.82395299,3608.24961859,35493.03813912,-73.88728983
Region 4,2025-11-10,3913.52320517,2611.27652192,3277.87323786,36639.71571533,753.44538899
Region 4,2025-11-17,3227.79849115,3921.73312922,3516.76519948,36605.34145601,-159.22528946
Region 4,2025-11-24,3573.92400910,3212.13684240,3013.29233495,37241.70672866,1029.65625776
Region 4,2025-12-01,3538.00154267,2899.15780046,2446.80420623,37096.89872282,-210.99680618
Region 4,2025-12-08,3335.78915281,2738.22348039,1998.71288640,36502.24711272,644.84787635
Region 4,2025-12-15,4436.28439324,2162.00031774,2638.67216756,37324.29680303,185.24018457
Region 4,2025-12-22,3960.10646926,2320.99489393,2371.78378477,36916.08912808,774.40973510
